Nama File,Label Asli,Hasil Prediksi Model,Algoritma,Metrik Jarak,Waktu Eksekusi (s),Silhouette Score,Akurasi (%)
Cardboard_1.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0183,0.7655,100
Cardboard_1.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.024,0.7658,100
Cardboard_1.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0222,0.7655,100
Cardboard_10.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0304,0.5439,100
Cardboard_10.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0431,0.5637,100
Cardboard_10.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0266,0.5441,100
Cardboard_100.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0334,0.7768,100
Cardboard_100.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0199,0.7768,100
Cardboard_100.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0254,0.7771,100
Cardboard_101.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0164,0.7782,100
Cardboard_101.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0144,0.7778,100
Cardboard_101.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0176,0.7782,100
Cardboard_102.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0527,0.7636,100
Cardboard_102.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0372,0.7636,100
Cardboard_102.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0671,0.7636,100
Cardboard_103.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0847,0.7653,100
Cardboard_103.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0512,0.7653,100
Cardboard_103.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0993,0.4296,100
Cardboard_104.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0398,0.4764,100
Cardboard_104.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0706,0.4502,100
